	786_0	A498	A549_ATCC	ACHN	BT_549	CAKI_1	CCRF_CEM	COLO_205	DU_145	EKVX	HCC_2998	HCT_116	HCT_15	HL_60_TB	HOP_62	HOP_92	HS_578T	HT29	IGROV1	KM12	K_562	LOX_IMVI	M14	MALME_3M	MCF7	MDA_MB_231_ATCC	MDA_MB_435	MDA_N	MOLT_4	NCI_ADR_RES	NCI_H226	NCI_H23	NCI_H322M	NCI_H460	NCI_H522	OVCAR_3	OVCAR_4	OVCAR_5	OVCAR_8	PC_3	RPMI_8226	RXF_393	SF_268	SF_295	SF_539	SK_MEL_2	SK_MEL_28	SK_MEL_5	SK_OV_3	SN12C	SNB_19	SNB_75	SR	SW_620	TK_10	T_47D	U251	UACC_257	UACC_62	UO_31
S100A10	3.56897	3.59005	3.70889	3.70555	3.41077	3.55004	2.1695	3.58666	3.70531	3.63416	3.37308	3.09841	3.67007	1.78025	3.50103	3.37098	2.94471	3.47605	3.31651	3.76954	1.30685	2.63156	3.54992	3.21585	3.09014	3.26155	3.39831	3.31223	2.48373	3.44333	3.53243	3.38776	3.66242	3.38673	3.0614	3.62271	3.5516	3.63851	3.35636	3.72661	2.04992	3.53426	3.24265	3.37047	2.9734	3.32428	3.18447	3.13143	3.65444	3.35998	3.43732	3.55362	3.57742	3.3369	3.73971	3.55908	3.46958	2.84026	3.1997	3.3897
EPAS1	2.09708	2.24753	2.44708	2.57337	2.54625	2.10758	0.230449	2.07151	1.8879	2.54473	1.81117	1.99839	1.60885	-0.0222764	2.34723	2.34027	2.49643	1.92023	2.38602	1.9087	1.48244	1.8101	1.51481	2.27999	0.414973	2.33401	1.65543	1.66521	1.17173	1.24625	2.75428	1.55279	2.40116	2.22373	0.684845	2.03775	2.4205	2.61552	1.18808	2.36101	1.55691	2.62162	2.73625	1.69249	2.11883	1.54531	2.04875	1.69958	1.92778	1.7893	2.23114	2.80737	3.18591	-0.102373	2.48151	2.61195	1.50461	2.26307	1.68726	2.35052
CKB	1.52776	1.78979	2.158	1.86451	1.90811	1.62097	1.07408	1.51175	2.91896	2.3667	1.89845	2.73586	1.53794	0.85187	1.9509	2.00915	1.41547	1.83651	2.54685	1.93258	2.64742	1.31048	1.46953	1.63053	2.05165	1.93782	1.69205	1.77026	1.70381	2.43856	1.49554	2.18529	2.03459	2.55253	2.24932	2.75659	2.12343	2.16947	2.3221	2.53614	2.25506	1.81994	2.38426	2.22006	1.98784	2.46509	1.67651	2.30726	2.54559	2.06974	2.70262	2.40276	1.32613	2.19948	1.69827	2.08293	2.71169	2.57045	2.37363	1.60498
RHOC	2.83249	2.97731	2.523	2.89594	2.86502	2.90798	2.09072	2.24719	2.5913	2.99279	2.87254	2.59273	2.45291	0.716838	2.67946	2.91498	2.99578	2.68372	2.7114	2.48964	2.57937	2.97994	2.82641	2.59419	2.39261	3.118	2.54649	2.73391	2.07886	2.57998	2.87097	2.61735	2.84244	2.42136	2.55628	2.58123	2.6287	2.52351	2.50998	2.87666	1.75519	2.84453	2.36986	2.80823	2.95904	3.22855	3.04515	2.33634	2.74864	2.70284	2.86868	3.1571	2.49856	2.29863	2.96484	2.93845	3.07235	2.50371	3.10514	2.74535
PALLD	2.75189	3.04545	2.89376	2.70388	2.1271	2.66872	2.11982	1.77808	2.2273	2.55019	2.12587	2.76451	1.81551	0.075547	2.90007	2.62379	3.03134	1.53071	2.06307	2.52287	0.155336	1.46479	1.75846	1.37949	1.90677	2.65176	2.17284	2.14179	2.34173	2.1605	2.57245	2.33199	2.25203	2.70538	1.08099	2.75287	2.64656	1.63528	2.37157	2.14737	1.38202	2.73222	2.72979	2.69924	3.10333	2.37216	2.11601	2.0214	2.63435	2.4826	3.09136	2.61403	2.56957	1.93212	2.74298	2.69553	3.01862	1.93867	2.42762	2.73991
LGALS3BP	2.57523	2.6899	2.34313	2.83409	1.84286	3.29551	2.41206	3.12795	1.76268	1.59506	3.03879	2.84156	3.06596	1.17406	2.8035	2.88675	2.27811	3.2574	2.69087	2.9758	1.3668	2.4756	2.83046	3.1093	2.25609	2.76825	2.99909	2.95224	2.65251	2.65022	3.22995	2.12398	2.47634	2.84567	1.37712	2.75552	2.89143	2.95346	2.13887	1.84466	0.961895	2.733	1.97086	2.99357	2.79655	2.94305	2.96495	3.29587	2.33656	2.72126	2.68539	2.72713	1.81305	2.87004	2.99566	1.99432	2.95665	2.92178	2.91405	2.58651
VCL	0.346353	0.416641	0.416641	1.28825	0.558709	0.85248	1.03981	0.664642	0.50515	0.480007	1.07115	0.33646	1.10415	0.808211	1.17609	0.390935	1.80284	1.05269	0.788875	0.614897	0.344392	1.34439	0.354108	0.549003	0.569374	1.21537	0.565848	0.255273	1.30814	1.30016	0.582063	1.08529	0.950851	0.491362	0.454845	1.19424	0.703291	0.744293	1.23955	0.513218	1.19838	0.5302	0.340444	0.416641	0.421604	0.899821	0.267172	1.18469	1.32118	1.16047	0.996512	0.130334	1	0.4133	0.640481	0.25042	1.19811	0.955207	1.21245	0.914872
CCND2	1.2938	0.542825	0.865696	1.57054	1.38292	1.48855	1.30878	1.20763	0.79796	0.984977	2.4041	1.27416	1.24105	2.36006	1.02036	1.43409	1.27898	1.17667	2.15851	2.19262	2.85966	1.20656	1.35315	1.30233	1.13481	1.18099	1.28058	0.974512	1.59934	1.28262	2.68508	1.47173	0.536558	0.762679	0.559907	1.28713	1.22686	1.19535	1.51228	1.42078	3.29042	1.03222	1.19368	1.04179	0.943495	1.47232	0.40654	1.615	1.42959	1.24353	1.17667	1.20303	1.28058	1.13577	1.46389	1.37033	1.04218	1.22891	1.30814	3.11995
ABLIM1	2.26112	2.67305	2.35299	2.74483	2.03153	2.31131	1.97007	3.04448	2.35675	2.70136	2.64757	2.72988	2.45373	2.248	1.93952	2.3171	1.26411	2.71557	2.48728	2.53377	1.20493	1.35044	1.68806	1.54986	2.01481	2.13871	1.80713	1.52048	1.62315	1.85812	1.50718	1.98218	2.93139	2.25852	2.56464	2.69044	2.88777	2.31542	1.98825	2.23922	2.50642	2.25833	1.90195	1.91714	2.12636	1.78405	1.43473	2.44654	2.50387	1.49094	1.83929	1.73022	1.51295	2.06051	2.24177	2.09618	2.04984	1.71273	1.93044	2.48582
ACTA2	1.89938	2.03575	1.86112	2.26183	3.09655	2.03751	1.70919	1.59561	1.73973	1.73368	1.78838	1.95866	1.92127	1.80618	1.72933	2.20238	3.49024	1.79553	1.89376	1.85138	1.61002	2.16316	1.73823	2.11856	1.77437	1.65543	1.63306	1.63739	1.60249	1.64088	2.49259	1.91929	1.71542	2.05987	1.65475	2.32052	2.58138	1.79796	1.91924	1.8053	1.55121	1.85236	1.78003	1.92768	1.77532	1.62572	1.52673	1.78661	1.74461	1.7421	1.89949	3.11511	2.0782	1.67256	1.77663	2.12113	1.71113	1.97891	1.98762	2.28069
ANXA6	2.4923	2.47945	2.13213	2.32447	2.13309	2.70876	2.25251	1.32552	2.04254	2.26762	1.67633	2.11528	1.9026	2.36084	2.65455	2.40494	2.74908	1.11826	2.21919	0.808211	0.677607	2.83092	2.7899	2.14192	2.54605	2.41394	2.64648	2.51215	2.47492	2.57623	1.79844	2.53324	1.01199	2.36883	1.91408	1.66238	1.78053	2.24457	2.45154	1.78068	1.39252	2.59118	2.62468	2.26877	2.81895	1.53186	2.73961	2.11086	1.86964	2.32764	1.86267	2.59155	2.16912	1.55509	2.41265	2.95124	2.03759	2.17788	2.23206	2.51129
SERPING1	1.03583	0.40654	1.3668	1.30363	1.3934	0.0569049	0.350248	1.03423	1.52009	1.17202	1.11826	1.14829	1.2413	0.149219	1.10755	0.767898	0.910624	0.661813	0.944976	0.537819	1.17026	1.4239	1.38792	-0.0705811	0.994757	0.209515	1.07445	1.15594	0.872156	1.34518	1.93273	1.45561	0.25042	0.255273	1.56324	1.077	1.44373	1.07882	1.47392	1.30514	0.980003	1.29159	0.587711	0.045323	-0.091515	1.08565	0.818885	0.158362	1.47494	1.14239	0.836957	1.04297	0.501059	0.833147	1.40688	0.326336	0.367356	0.190332	1.21906	1.05614
HIF1A	0.940018	2.79796	2.87363	3.163	2.92943	2.99439	2.6589	2.52354	3.07232	3.06867	2.41981	2.75654	2.64007	2.15452	2.82512	3.25728	3.08907	2.56575	3.13445	2.57699	2.22647	2.7604	2.59855	3.05615	2.70636	3.02944	2.62666	2.58797	2.55707	3.17128	2.96586	2.86255	2.97538	2.98769	2.61513	2.96001	3.07603	3.04548	2.84086	2.93473	2.28941	2.4283	3.18568	2.76087	3.06672	2.95644	3.19707	2.645	3.1278	2.80408	3.05651	3.27657	3.09398	2.58217	3.18737	2.76662	3.18283	2.8846	2.92003	3.04344
CKAP4	2.8707	2.87356	2.42164	2.60498	2.86074	2.72804	0.978181	2.49	2.11747	2.59402	2.06089	2.36194	2.53982	1.18241	2.64662	2.63797	2.92147	1.92418	2.86977	2.33333	1.10312	2.72704	2.44649	2.61773	2.34112	2.79768	2.23634	2.10233	1.62818	2.5986	2.86794	2.82999	2.34932	3.06521	2.40732	2.20189	2.30287	2.27683	2.85062	2.78988	1.81564	2.99895	2.79486	3.02086	2.97366	2.18803	1.98605	2.35118	2.70136	2.61207	2.64816	2.72627	1.04532	1.97699	2.12018	2.24085	2.8024	2.52679	2.47457	2.63272
CD9	0.542825	0.247973	2.73177	2.79929	2.77488	2.52217	0.235528	3.28119	2.92649	3.00985	3.2133	2.92041	3.3138	0.348305	3.26422	2.92392	2.23416	3.14215	2.72728	3.07121	0.281033	0.987666	3.1903	2.87731	3.03714	2.6116	3.04299	3.08194	1.81365	2.77454	2.54132	2.67455	3.30601	1.88485	2.43482	3.09499	3.11767	2.63	2.57605	2.65455	3.27553	1.94532	2.60803	2.81878	2.31597	2.32114	2.52222	2.75648	2.35081	2.58615	2.83857	2.75836	0.071882	3.1451	2.91834	2.51537	2.63932	2.63725	2.29075	3.0107
TXNIP	1.63959	1.5197	0.722634	2.26654	1.35353	2.39157	1.5412	2.23727	0.985426	1.51495	1.78426	0.255273	2.20442	2.15528	1.49624	2.48411	1.90886	1.95952	1.83385	2.65295	2.46746	2.24839	1.7328	2.12284	2.68448	2.67158	1.95909	1.8844	2.01355	1.45894	2.62509	1.04727	1.5738	2.06971	0.808211	1.93822	2.24578	1.92665	0.60206	2.10992	2.72169	2.16693	1.92588	2.04265	1.38292	1.62603	1.6981	2.01837	2.44654	1.804	2.07649	2.45753	1.96974	2.40004	1.80665	2.00561	2.07606	1.9567	1.74194	1.58894
ANXA1	3.32777	3.54806	3.74976	3.16076	3.34985	3.18522	3.08681	2.92597	3.41663	3.21979	3.38933	3.2369	2.25592	2.26214	3.33105	3.36665	2.97656	3.23125	3.16935	2.90648	3.11402	3.42656	3.34078	2.42602	0.463893	3.04509	3.17057	3.02475	3.26983	3.50785	3.39394	3.38233	3.47305	3.4029	3.56641	3.02874	2.87	3.36409	3.38921	3.29277	1.67265	3.11702	3.20298	3.31918	3.19654	2.81546	3.00178	1.34772	3.4213	3.17423	3.47995	3.46496	2.80678	2.30183	3.07351	1.46894	3.32038	2.13293	3.33965	3.26841
JUP	1.11294	1.41162	2.05358	1.91371	1.89326	1.94841	0.679428	2.62464	1.81365	2.18233	2.81825	2.41842	2.59509	1.88491	1.75565	1.29358	0.980912	2.69513	2.37012	2.54749	2.57329	0.454845	0.820201	1.63185	2.97168	1.04571	0.418301	0.390935	0.889862	2.11687	1.08171	2.20839	2.81064	2.35852	2.53919	2.43957	2.57344	1.80584	2.28369	2.07635	2.22451	1.78746	1.41313	0.392697	1.21245	1.17955	0.692847	0.552668	2.18713	0.957128	1.40824	0.635484	0.546543	2.22873	2.34167	3.23702	1.73392	0.565848	0.739572	1.69522
LDHB	3.55846	3.55027	3.72331	3.71396	3.43145	3.73611	3.66766	0.569374	3.55007	3.56762	3.62232	3.56246	3.71618	3.74065	3.6054	3.37652	3.25876	3.54377	3.73835	3.568	3.53004	3.5721	3.55239	3.44417	0.243038	3.20562	3.51202	3.44323	3.7359	3.63893	3.39669	3.51587	3.67447	3.59523	3.52409	3.59446	3.35415	0.542825	3.58668	3.46788	3.62669	3.24071	3.45481	3.40642	3.39265	3.6486	3.37718	3.60522	3.28578	3.54149	3.43967	3.33858	3.3344	3.64761	3.55229	2.08856	3.46716	3.55602	3.72127	3.66717
ADD3	2.61572	1.93927	2.16501	2.52591	0.766413	2.80741	2.73311	2.9771	2.28838	1.67495	2.87804	2.38691	2.64927	2.2229	2.14035	2.85092	2.40221	2.76226	2.64832	2.87959	2.36082	2.03957	2.62523	2.85651	2.32513	2.27012	2.83423	2.59566	2.14585	2.39429	1.75012	2.57245	2.70031	2.54595	2.47959	2.77367	2.67168	2.3356	2.51378	2.20639	2.0992	2.75208	2.57537	2.10442	2.53681	2.51146	2.58527	2.86272	2.54857	1.88981	2.37965	2.64636	2.09788	2.67857	1.80236	1.97285	2.30402	2.43379	2.21328	2.31446
DUSP1	2.15042	2.75626	3.05177	2.80117	2.20539	2.22588	1.33445	1.67043	2.54699	2.25327	1.59824	1.92881	1.55763	1.32919	2.23762	2.11594	2.56342	1.58659	2.19131	2.05204	1.92054	2.54635	1.68789	1.63629	1.81465	1.96759	1.90412	1.87151	1.63094	2.83431	2.96854	2.68999	1.66876	2.27999	2.3409	1.88643	2.951	2.22832	2.65556	2.11919	2.25585	2.86572	2.60766	2.15552	3.20336	1.73957	1.61458	2.22541	2.24954	2.51893	1.82802	2.5286	2.57882	1.65283	2.90986	1.73272	1.81151	1.68966	1.74741	2.85449
RAB6A	0.276462	1.33445	0.243038	0.478566	0.20412	0.383815	0.933487	1.23654	0.796574	0.30963	0.478566	0.83123	0.184691	0.877947	1.10857	0.963788	0.365488	0.130334	0.526339	0.227887	0.222716	0.143015	1.39515	0.117271	0.374748	0.167317	0.217484	1.06633	1.07041	0.167317	0.0934217	0.460898	0.79588	0.685742	0.217484	0.247973	0.269513	0.948902	0.800029	0.929419	0.971276	0.161368	-0.0268721	0.662758	0.075547	1.31323	0.365488	1.15594	0.439333	0.123852	0.542825	0.120574	0.58995	1.30707	0.49693	0.715167	0.00432137	0.149219	0.332438	0.472756
MYL9	1.75143	2.59279	0.32838	2.48933	2.41504	2.63904	0.558709	0.283301	2.71611	2.83546	0.419956	2.19072	0.478566	-0.119186	2.25324	2.47757	3.39486	0.416641	2.5643	0.0334238	-0.0809219	0.164353	0.271842	2.26494	0.152288	2.52455	2.40824	1.84985	0.346353	2.66552	2.57171	2.54948	0.0374265	0.320146	1.471	2.39815	3.06738	0.706718	2.54924	0.371068	0.356026	2.85744	-0.0861861	-0.119186	3.01002	0.474216	1.61109	0.103804	0.296665	2.7949	0.00432137	2.80885	0	0.716003	0.502427	2.49572	0.212188	0.257679	0.274158	2.3293
